Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	AR	0	0.018495618219
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		12	100	Song	0	EUR	SE	0	0.033932791733
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	TR	0	0.001669154839
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		13	100	Song	0	EUR	CA	0	0.020158083059
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	IS	0	0.030004647111
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	MX	0	0.013764673675
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	TR	0	0.009039304130
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	LV	0	0.000098119991
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		11	100	Song	0	EUR	SE	0	0.007857404243
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CZ	0	0.003717409642
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	CH	0	0.005136804505
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	FI	0	0.041354231018
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		13	100	Song	0	EUR	SE	0	0.080982442203
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	IE	0	0.009558894080
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	IL	0	0.001603369846
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	IT	0	0.024576827634
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	NO	0	0.025076347586
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	SG	0	0.031779726940
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BE	0	0.005529284468
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BR	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		49	100	Song	0	EUR	IT	0	0.125683902899
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	MX	0	0.002066094801
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		12	100	Song	0	EUR	NZ	0	0.067034908546
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	PL	0	0.005314089488
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	HK	0	0.001042524900
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		124	100	Song	0	EUR	AU	0	0.153801970192
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	AU	0	0.008692539163
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	MY	0	0.002112924797
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		74	100	Song	0	EUR	SE	0	0.248316051092
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	CL	0	0.011543593889
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	NZ	0	0.004754359542
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		247	100	Song	0	EUR	CA	0	0.304591210674
